DB	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes					
KEGG	Pathways in cancer	32/531	7.06E-20	7.06E-20	0	0	12.67580058	626.4366305	NOTCH1;CDKN1B;PTGER2;PTEN;FASLG;GLI1;ETS1;FOXO1;IGF1R;BBC3;EDNRA;CDH1;ERBB2;ABL1;JAK2;PDGFRB;JUN;SMAD4;FZD3;EGLN2;STAT1;MMP2;FOS;NFKB1;RHOA;RUNX1;TGFBR2;VEGFA;AR;SMO;PIK3CA;FAS					
KEGG	Proteoglycans in cancer	14/205	2.04E-09	2.04E-09	0	0	12.43482578	290.8169868	FZD3;MMP2;FASLG;TNF;RHOA;IGF1R;VEGFA;SMO;PIK3CA;ERBB3;ERBB2;FAS;EZR;TLR2					
KEGG	PI3K-Akt signaling pathway	17/354	3.39E-09	3.39E-09	0	0	8.719860298	197.3224683	PDGFRB;PHLPP2;CDKN1B;PTEN;FASLG;FOXO3;YWHAZ;NFKB1;PIK3CG;IGF1R;VEGFA;CREB1;PIK3CA;ERBB3;ERBB2;JAK2;TLR2					
KEGG	PD-L1 expression and PD-1 checkpoint pathway in cancer	"10/1989"	6.40E-09	6.40E-09	0	0	20.87658228	456.9338784	CD274;JUN;PIK3CA;STAT1;PTEN;FOS;JAK2;NFKB1;MYD88;TLR2					
KEGG	Adherens junction	"9/1971"	1.55E-08	1.55E-08	0	0	23.76326313	496.8895963	SMAD4;CDH1;ERBB2;SNAI1;PTPRM;RHOA;WASF3;IGF1R;TGFBR2					
KEGG	MAPK signaling pathway	14/294	1.05E-07	1.05E-07	0	0	8.443965517	157.7787259	PDGFRB;JUN;FASLG;FOS;TNF;NFKB1;IGF1R;TGFBR2;VEGFA;RAP1A;ERBB3;ERBB2;FAS;MYD88					
KEGG	FoxO signaling pathway	10/131	1.80E-07	1.80E-07	0	0	13.60123967	245.8966849	SMAD4;CDKN1B;PIK3CA;PTEN;ATM;FASLG;FOXO3;FOXO1;IGF1R;TGFBR2					
KEGG	Toll-like receptor signaling pathway	9/104	3.08E-07	3.08E-07	0	0	15.48281862	270.6710506	JUN;TBK1;PIK3CA;STAT1;FOS;TNF;NFKB1;MYD88;TLR2					
KEGG	Relaxin signaling pathway	9/129	1.26E-06	1.26E-06	0	0	12.24173554	191.0811766	JUN;COL3A1;CREB1;PIK3CA;MMP2;FOS;NFKB1;TGFBR2;VEGFA					
KEGG	Ras signaling pathway	11/232	2.28E-06	2.28E-06	0	0	8.218525419	122.1827874	PDGFRB;TBK1;RAP1A;PIK3CA;ABL1;FASLG;ETS1;NFKB1;RHOA;IGF1R;VEGFA					
